x,y,label,meta
354.81338923357606,26.8,"36 km NW of Willow, Alaska",M 2.7
7.943282347242822,3.9,"25 km NNW of Fishhook, Alaska",M 1.6
65.31305526474723,13.82,"7 km E of La Parguera, Puerto Rico",M 2.2
2818.3829312644493,35,"95 km SSE of King Cove, Alaska",M 3.3
1000000,10,"68 km WNW of Catuday, Philippines",M 5.0
1.3182567385564075,0.959999978542328,"6 km NNW of The Geysers, CA",M 1.1
1.3182567385564075,2,"7 km NW of The Geysers, CA",M 1.1
2.818382931264455,3.6,"8 km ENE of Fox, Alaska",M 1.3
354813.389233576,30.018,"39 km SW of Kandrian, Papua New Guinea",M 4.7
251188.6431509577,10,"21 km WNW of Djelfa, Algeria",M 4.6
1.188502227437019,15.22,"6 km ESE of Valle Vista, CA",M 1.1
501.18723362727144,52.7,"42 km SSW of Nanwalek, Alaska",M 2.8
7.943282347242822,21.9,"37 km NE of Whittier, Alaska",M 1.6
1.7988709151287874,2.42000007629395,"6 km NNW of The Geysers, CA",M 1.2
1.9952623149688788,32.6,"20 km NW of Girdwood, Alaska",M 1.2
177827.94100389228,60.243,"10 km SSE of Kiupo, Philippines",M 4.5
63.095734448019364,5,"87 km N of Yakutat, Alaska",M 2.2
53.08844442309879,12.0299997329712,"4 km NW of Belden, CA",M 2.1
63.095734448019364,96.5,"71 km SE of Pope-Vannoy Landing, Alaska",M 2.2
177827.94100389228,252.862,"50 km WSW of Abra Pampa, Argentina",M 4.5
1.2735030810166617,8.48,"19 km WSW of Johannesburg, CA",M 1.1
354.81338923357606,9.519,"142 km E of Chalkyitsik, Alaska",M 2.7
1.3182567385564075,6.21,"9 km N of Borrego Springs, CA",M 1.1
31.622776601683793,109.2,"34 km SW of Skwentna, Alaska",M 2.0
5.821032177708715,13.11,"10 km WSW of Morongo Valley, CA",M 1.5
37.58374042884439,8.72000026702881,"6 km NE of Alder Springs, CA",M 2.0
15.84893192461114,24,"36 km E of Chenega, Alaska",M 1.8
5.623413251903491,4.1163,"48 km SSE of Whites City, New Mexico",M 1.5
1995262.314968883,10,"8 km WNW of Changning, China",M 5.2
15.84893192461114,123.7,"37 km ESE of Pedro Bay, Alaska",M 1.8
1.4125375446227546,2.65000009536743,"7 km NW of The Geysers, CA",M 1.1
7943.282347242822,30.074,"128 km S of Sand Point, Alaska",M 3.6
67.60829753919819,4.38,"6 km E of Elgin, South Carolina",M 2.2
63095.73444801943,56.833,"43 km ENE of Noda, Japan",M 4.2
11.22018454301963,0,"6 km NNW of Wickett, Texas",M 1.7
251.18864315095823,0.2,"84 km NNW of Venetie, Alaska",M 2.6
22.38721138568338,121.6,"52 km E of Ugashik, Alaska",M 1.9
89.1250938133745,70.5,"84 km SW of Karluk, Alaska",M 2.3
1.4125375446227546,30.2,"4 km E of Point MacKenzie, Alaska",M 1.1
5.821032177708715,10.66,"4 km S of West Hollywood, CA",M 1.5
25.703957827688647,31.9400005340576,"3 km SW of Pāhala, Hawaii",M 1.9
35.2367236631008,6.42999982833862,"10 km NE of Hoodsport, Washington",M 2.0
7.943282347242822,3.595,"61 km S of Whites City, New Mexico",M 1.6
16.98243652461744,14.5151,"44 km W of Austin, Nevada",M 1.8
4120.975190973304,24.9,"65 km E of Cruz Bay, U.S. Virgin Islands",M 3.4
5.623413251903491,44.5,"16 km ESE of Susitna North, Alaska",M 1.5
11.22018454301963,1.6606,"12 km SW of Jal, New Mexico",M 1.7
2.818382931264455,12.5,"10 km W of Valdez, Alaska",M 1.3
31.622776601683793,55,"11 km NNE of Aleneva, Alaska",M 2.0
5.821032177708715,9.6,"14 km SSW of Maricopa, CA",M 1.5
177827.94100389228,165.511,"225 km NE of Lospalos, Timor Leste",M 4.5
22.38721138568338,55.6,"23 km ENE of Beluga, Alaska",M 1.9
2.818382931264455,49.1,"21 km ENE of Sterling, Alaska",M 1.3
63095.73444801943,206.575,"59 km WNW of San Antonio de los Cobres, Argentina",M 4.2
23.988329190194897,5.55,"19 km NNE of Indio, CA",M 1.9
22.38721138568338,8.0324,"12 km SSW of Jal, New Mexico",M 1.9
3.981071705534969,12.7,"21 km WNW of Ivanof Bay, Alaska",M 1.4
1000000,81.184,"65 km W of Foxton Beach, New Zealand",M 5.0
11.22018454301963,12.5,"21 km W of Ivanof Bay, Alaska",M 1.7
5.432503314924331,1.66999995708466,"6 km WNW of Cobb, CA",M 1.5
10.83926914021204,6.26000022888184,"9 km SE of Pinnacles, CA",M 1.7
1.2302687708123818,1.62999999523163,"1 km NE of The Geysers, CA",M 1.1
1.3182567385564075,11.28,"4 km SE of Loma Linda, CA",M 1.1
7.943282347242822,61.6,"81 km NW of Eureka Roadhouse, Alaska",M 1.6
31.622776601683793,0.5,"88 km SE of Ugashik, Alaska",M 2.0
16982.436524617424,158,"20 km SSE of Punta Cana, Dominican Republic",M 3.8
1.7988709151287874,0.28999999165535,"1 km ENE of The Geysers, CA",M 1.2
89125.09381337442,10,"19 km WSW of Morón, Venezuela",M 4.3
707.9457843841374,75.3,"38 km WNW of Nanwalek, Alaska",M 2.9
16.40589773199539,-1.11000001430511,"5 km WSW of Volcano, Hawaii",M 1.8
7.943282347242822,61.9,"6 km SW of Funny River, Alaska",M 1.6
22.38721138568338,1.6792,"20 km NNW of Indian Springs, Nevada",M 1.9
177827.94100389228,10,"20 km W of Boca de Aroa, Venezuela",M 4.5
1,42.9,"30 km N of Fishhook, Alaska",M 1.0
125892.54117941688,94.364,"29 km WSW of Pueblo Rico, Colombia",M 4.4
354813.389233576,10,south of Africa,M 4.7
2.818382931264455,113.5,"60 km ESE of Pope-Vannoy Landing, Alaska",M 1.3
1.4125375446227546,2.44000005722046,"7 km NW of The Geysers, CA",M 1.1
1.4125375446227546,72.3,"34 km WNW of Susitna, Alaska",M 1.1
8.222426499470712,0.449999988079071,"9 km ESE of Willits, CA",M 1.6
7.943282347242822,28.7,"18 km WSW of Tatitlek, Alaska",M 1.6
1995262.314968883,160.295,"45 km NE of Port-Olry, Vanuatu",M 5.2
4.570881896148752,6.55999994277954,"12 km ESE of Willits, CA",M 1.4
1.0715193052376064,9.68,"11 km NNE of Ocotillo Wells, CA",M 1.0
7.4131024130091765,0.4,"19 km WSW of Delta, B.C., MX",M 1.6
177.8279410038923,99.1,"35 km W of Salamatof, Alaska",M 2.5
